,a,e,i,o,u,y,ø,ɑ,ɛ
a,0.0,2.1529496331965663,3.9197345690367245,2.130256636230712,2.6785609822502154,3.0220447474308303,2.266293898670553,0.8679882841743545,1.6911797328138478
e,2.1529496331965663,0.0,1.7743076562596394,1.432311261916115,2.31294995972075,1.0593152390361509,0.6257134950249499,2.280363769200192,0.5091952296010761
i,3.9197345690367245,1.7743076562596394,0.0,2.523036802665544,3.133536832715593,1.0937739492415193,1.7818471705453014,3.9234345913731374,2.2703942283378318
o,2.130256636230712,1.432311261916115,2.523036802665544,0.0,0.8897534079902337,1.4292963366037736,0.8886168325880711,1.6789444295819302,1.532689391954756
u,2.6785609822502154,2.31294995972075,3.133536832715593,0.8897534079902337,0.0,2.0816192155231295,1.7320028711972952,1.9873473656375225,2.4155782763014737
y,3.0220447474308303,1.0593152390361509,1.0937739492415193,1.4292963366037736,2.0816192155231295,0.0,0.7635089721537944,2.897185129727379,1.5468512069805744
ø,2.266293898670553,0.6257134950249499,1.7818471705453014,0.8886168325880711,1.7320028711972952,0.7635089721537944,0.0,2.148204750462934,0.9551100375072176
ɑ,0.8679882841743545,2.280363769200192,3.9234345913731374,1.6789444295819302,1.9873473656375225,2.897185129727379,2.148204750462934,0.0,1.948217466417476
ɛ,1.6911797328138478,0.5091952296010761,2.2703942283378318,1.532689391954756,2.4155782763014737,1.5468512069805744,0.9551100375072176,1.948217466417476,0.0
