Feature,Phoneme,Estimate,CI_Lower,CI_Upper
F1_LOB,a,0.002656964814248988,-0.22933195795638883,0.2346458875848868
F1_LOB,e,0.0162824702529642,-0.5011605711870362,0.5337255116929644
F1_LOB,i,0.001002643339736867,-0.1607517902387667,0.16275707691824046
F1_LOB,o,0.1398955667032476,-0.042727284775114976,0.3225184181816102
F1_LOB,u,-0.15937782124840394,-0.31558732098773307,-0.003168321509074812
F1_LOB,y,-0.2168321391708376,-0.3382365829720698,-0.0954276953696054
F1_LOB,ø,0.07088501104082036,-0.14347889698465094,0.28524891906629163
F1_LOB,ɑ,0.17830425942649583,-0.18191347327218196,0.5385219921251736
F1_LOB,ɛ,-0.3645381235267673,-0.5790005862656598,-0.15007566078787488
F2_LOB,a,0.00756988639968511,-0.1444970491732964,0.15963682197266663
F2_LOB,e,-0.0715477992084665,-0.5186762518515121,0.3755806534345791
F2_LOB,i,0.07627015751920249,-0.2947765667608264,0.44731688179923146
F2_LOB,o,-0.04832596317344443,-0.25851516085642456,0.1618632345095357
F2_LOB,u,0.12288079941362015,-0.0262793284961024,0.27204092732334273
F2_LOB,y,-0.26353856384491814,-0.5667015393517979,0.03962441166196162
F2_LOB,ø,-0.11874165330969687,-0.38865952274160553,0.15117621612221177
F2_LOB,ɑ,0.14440909906193947,0.003603478957038525,0.2852147191668404
F2_LOB,ɛ,-0.22966062676030474,-0.6879251158430916,0.2286038623224821
