Phoneme,Obs_Cosine_Dist,p_uncorrected,p_FDR_BH
a,0.010150433,0.0005998800239952009,0.0007712743165652583
e,0.010266483,0.0001999600079984003,0.00044991001799640074
i,0.008087754,0.0005998800239952009,0.0007712743165652583
o,0.01226294,0.0007998400319936012,0.0008998200359928015
u,0.0061822534,0.0001999600079984003,0.00044991001799640074
y,0.008532822,0.0001999600079984003,0.00044991001799640074
ø,0.014974415,0.0009998000399920016,0.0009998000399920016
ɑ,0.021079898,0.0001999600079984003,0.00044991001799640074
ɛ,0.01035583,0.0003999200159968006,0.0007198560287942411
